"(3, 21), neighbors:2500, best: (28, 46), C, 0"
"(3, 22), neighbors:2500, best: (28, 47), D, 0"
"(3, 23), neighbors:2500, best: (28, 48), C, 0"
"(3, 24), neighbors:2500, best: (28, 49), C, 0"
"(3, 25), neighbors:2500, best: (28, 0), D, 0"
"(3, 26), neighbors:2500, best: (28, 1), C, 0"
"(3, 27), neighbors:2500, best: (28, 2), C, 0"
"(3, 28), neighbors:2500, best: (28, 3), C, 0"
"(3, 29), neighbors:2500, best: (28, 4), C, 0"
"(3, 30), neighbors:2500, best: (28, 5), D, 0"
"(3, 31), neighbors:2500, best: (28, 6), C, 0"
"(3, 32), neighbors:2500, best: (28, 7), C, 0"
"(3, 33), neighbors:2500, best: (28, 8), C, 0"
"(3, 34), neighbors:2500, best: (28, 9), C, 0"
"(3, 35), neighbors:2500, best: (28, 10), D, 0"
"(3, 36), neighbors:2500, best: (28, 11), D, 0"
"(3, 37), neighbors:2500, best: (28, 12), C, 0"
"(3, 38), neighbors:2500, best: (28, 13), D, 0"
"(3, 39), neighbors:2500, best: (28, 14), C, 0"
"(3, 40), neighbors:2500, best: (28, 15), C, 0"
"(3, 41), neighbors:2500, best: (28, 16), D, 0"
"(3, 42), neighbors:2500, best: (28, 17), D, 0"
"(3, 43), neighbors:2500, best: (28, 18), D, 0"
"(3, 44), neighbors:2500, best: (28, 19), D, 0"
"(3, 45), neighbors:2500, best: (28, 20), D, 0"
"(3, 46), neighbors:2500, best: (28, 21), C, 0"
"(3, 47), neighbors:2500, best: (28, 22), C, 0"
"(3, 48), neighbors:2500, best: (28, 23), D, 0"
"(3, 49), neighbors:2500, best: (28, 24), C, 0"
"(4, 0), neighbors:2500, best: (29, 25), C, 0"
"(4, 1), neighbors:2500, best: (29, 26), C, 0"
"(4, 2), neighbors:2500, best: (29, 27), C, 0"
"(4, 3), neighbors:2500, best: (29, 28), D, 0"
"(4, 4), neighbors:2500, best: (29, 29), C, 0"
"(4, 5), neighbors:2500, best: (29, 30), D, 0"
"(4, 6), neighbors:2500, best: (29, 31), D, 0"
"(4, 7), neighbors:2500, best: (29, 32), D, 0"
"(4, 8), neighbors:2500, best: (29, 33), D, 0"
"(4, 9), neighbors:2500, best: (29, 34), D, 0"
"(4, 10), neighbors:2500, best: (29, 35), D, 0"
"(4, 11), neighbors:2500, best: (29, 36), C, 0"
"(4, 12), neighbors:2500, best: (29, 37), D, 0"
"(4, 13), neighbors:2500, best: (29, 38), C, 0"
"(4, 14), neighbors:2500, best: (29, 39), D, 0"
"(4, 15), neighbors:2500, best: (29, 40), D, 0"
"(4, 16), neighbors:2500, best: (29, 41), D, 0"
"(4, 17), neighbors:2500, best: (29, 42), C, 0"
"(4, 18), neighbors:2500, best: (29, 43), D, 0"
"(4, 19), neighbors:2500, best: (29, 44), D, 0"
"(4, 20), neighbors:2500, best: (29, 45), C, 0"
"(4, 21), neighbors:2500, best: (29, 46), C, 0"
"(4, 22), neighbors:2500, best: (29, 47), C, 0"
"(4, 23), neighbors:2500, best: (29, 48), C, 0"
"(4, 24), neighbors:2500, best: (29, 49), D, 0"
"(4, 25), neighbors:2500, best: (29, 0), D, 0"
"(4, 26), neighbors:2500, best: (29, 1), C, 0"
"(4, 27), neighbors:2500, best: (29, 2), C, 0"
"(4, 28), neighbors:2500, best: (29, 3), D, 0"
"(4, 29), neighbors:2500, best: (29, 4), D, 0"
"(4, 30), neighbors:2500, best: (29, 5), C, 0"
"(4, 31), neighbors:2500, best: (29, 6), C, 0"
